Date,Payload_weight,Total_distance_miles,Avg_traffic_congestion,Avg_temp,Avg_Precipitation,Avg_snow,vehicle_type,Origin_depot,Destination_depot,Avg_Speed_mph,Distance_highway,Distance_city,dispatch_time,total_payload,Fuel_consumed_gallons(Target Variable),Fuel_efficiency
06-06-2023,10.56,73.2,Medium,high,low,Medium,MAN TGM 18.250,Leeds,Liverpool,43,58,14,noon,11.44,7.347276868,9.96287486
01-04-2023,10.56,44.4,Low,low,low,Low,DAF XF 105.510,Leeds,Manchester,42,35,8,noon,7.04,7.441203628,5.966776643
11-12-2023,12.32,44.4,Low,medium,high,Low,DAF XF 105.510,Leeds,Manchester,43,35,8,night,10.56,7.441203628,5.966776643
23-02-2023,7.04,45.5,High,low,high,Low,SCANIA R 450,Manchester,Leeds,43,36,9,night,11.44,7.453416149,6.104583333
08-10-2023,7.04,44.4,Medium,high,high,Low,SCANIA R 450,Leeds,Manchester,32,35,8,night,10.56,7.464312956,5.94830365
08-05-2023,12.32,45.5,Medium,high,low,Low,IVECO EuroCargo ml180e28,Manchester,Leeds,46,36,9,morning,7.04,7.533370477,6.039793229
17-06-2023,9.68,45.5,Low,low,low,Medium,MAN TGX 18.400,Manchester,Leeds,49,36,9,morning,10.56,7.855973813,5.791770834
21-11-2023,9.68,45.5,High,low,medium,Medium,IVECO EuroCargo ml180e28,Manchester,Leeds,52,36,9,noon,11.44,7.861779435,5.787493833
25-02-2023,10.56,44.4,Low,high,high,Medium,IVECO EuroCargo ml180e28,Leeds,Manchester,32,35,8,night,10.56,7.873273265,5.639331763
31-08-2023,7.04,73.2,Low,high,low,Medium,VOLVO FL 420,Leeds,Liverpool,56,58,14,noon,11.44,7.910793762,9.253180174
20-11-2023,11.44,45.5,Medium,high,high,Low,DAF XF 105.510,Manchester,Leeds,46,36,9,noon,9.68,8.233064329,5.526496354
13-07-2023,10.56,73.2,High,low,medium,Medium,MAN TGM 18.250,Leeds,Liverpool,34,58,14,night,10.56,8.246589112,8.876397139
12-10-2023,7.04,45.5,High,low,medium,High,SCANIA R 450,Manchester,Leeds,60,36,9,night,11.44,8.281573499,5.494125
19-05-2023,8.8,73.2,Medium,high,medium,Medium,VOLVO FL 420,Leeds,Liverpool,58,58,14,morning,10.56,8.327151329,8.790521165
03-09-2023,9.68,73.2,Low,high,high,Medium,IVECO NP 460,Leeds,Liverpool,41,58,14,morning,12.32,8.408276669,8.705707826
09-05-2023,10.56,73.9,Low,medium,medium,Medium,VOLVO FL 420,Liverpool,Leeds,47,59,14,night,9.68,8.435766346,8.760318502
04-04-2023,12.32,45.5,Low,low,low,High,IVECO EuroCargo ml180e28,Manchester,Leeds,33,36,9,night,10.56,8.643359847,5.264156625
14-04-2023,12.32,73.9,Low,high,low,Low,SCANIA G 460,Liverpool,Leeds,41,59,14,night,11.44,8.734442945,8.460757082
18-11-2023,11.44,73.9,Medium,medium,medium,Medium,VOLVO FL 420,Liverpool,Leeds,56,59,14,night,11.44,8.879754048,8.322302577
30-09-2023,10.56,44.4,High,high,high,High,MAN TGX 18.400,Leeds,Manchester,45,35,8,night,12.32,8.931656529,4.971082336
05-08-2023,12.32,45.5,Medium,medium,medium,Low,DAF XF 105.510,Manchester,Leeds,30,36,9,noon,10.56,8.948982967,5.084376646
09-09-2023,10.56,44.4,Low,low,high,High,DAF XF 105.510,Leeds,Manchester,34,35,8,noon,9.68,8.986960904,4.94049106
30-08-2023,11.44,45.5,Low,low,high,Medium,MAN TGX 18.400,Manchester,Leeds,33,36,9,morning,8.8,8.988528391,5.062007708
30-05-2023,10.56,87.3,High,high,medium,Medium,MAN TGM 18.250,Birmingham,Manchester,41,69,17,night,10.56,9.071248023,9.62381359
03-06-2023,9.68,73.9,Medium,medium,low,Low,VOLVO FH 520,Liverpool,Leeds,46,59,14,noon,10.56,9.083820663,8.135343347
30-07-2023,9.68,98.3,High,medium,high,Low,MAN TGM 18.250,Birmingham,Liverpool,57,78,19,noon,7.04,9.131613055,10.76480129
05-01-2024,10.56,86.9,Medium,low,low,High,MAN TGM 18.250,Manchester,Birmingham,55,69,17,noon,11.44,9.175222562,9.4711599
11-06-2023,7.04,73.9,Medium,medium,low,Medium,SCANIA G 460,Liverpool,Leeds,47,59,14,morning,11.44,9.29196058,7.953111656
09-04-2023,11.44,73.9,Low,high,medium,Low,DAF XG 530,Liverpool,Leeds,36,59,14,morning,10.56,9.443513603,7.825477159
25-01-2024,12.32,73.2,Low,low,medium,High,VOLVO FL 420,Leeds,Liverpool,30,58,14,morning,7.04,9.453529286,7.74313992
24-06-2023,9.68,86.9,Low,medium,low,Medium,VOLVO FL 420,Manchester,Birmingham,50,69,17,morning,10.56,9.458557759,9.1874472
12-04-2023,10.56,73.9,Medium,medium,low,Low,VOLVO FH 520,Liverpool,Leeds,45,59,14,noon,8.8,9.561916487,7.72857618
25-12-2023,10.56,98.3,Low,medium,medium,Low,MAN TGM 18.250,Birmingham,Liverpool,31,78,19,noon,11.44,9.612224269,10.22656123
28-10-2023,7.04,73.9,Medium,high,low,High,DAF XG 530,Liverpool,Leeds,40,59,14,morning,7.04,9.653369461,7.65535809
16-12-2023,7.04,73.9,High,low,medium,Low,SCANIA G 460,Liverpool,Leeds,34,59,14,night,7.04,9.803545366,7.538089257
16-11-2023,8.8,73.2,High,high,low,Medium,VOLVO FH 520,Leeds,Liverpool,55,58,14,morning,10.56,9.850275808,7.431264
05-12-2023,7.04,99,Medium,medium,low,High,MAN TGM 18.250,Liverpool,Birmingham,44,79,19,morning,8.8,9.920917923,9.978915335
13-05-2023,11.44,73.9,High,low,high,Medium,VOLVO FL 420,Liverpool,Leeds,33,59,14,noon,12.32,9.966642658,7.41473358
03-07-2023,10.56,98.3,Medium,high,medium,Low,MAN TGM 18.250,Birmingham,Liverpool,34,78,19,night,12.32,10.11813081,9.715233164
27-01-2024,10.56,98.3,Low,high,low,Medium,MAN TGM 18.250,Birmingham,Liverpool,32,78,19,night,11.44,10.2257705,9.612967551
03-12-2023,11.44,98.3,Low,high,high,Medium,MAN TGM 18.250,Birmingham,Liverpool,33,78,19,night,10.56,10.2257705,9.612967551
10-05-2023,12.32,73.9,Medium,medium,low,Medium,IVECO NP 460,Liverpool,Leeds,39,59,14,night,11.44,10.25888214,7.203513891
11-08-2023,11.44,87.3,High,low,medium,High,MAN TGM 18.250,Birmingham,Manchester,33,69,17,noon,10.56,10.29827674,8.47714644
21-11-2023,9.68,86.9,Medium,high,low,High,VOLVO FL 420,Manchester,Birmingham,47,69,17,morning,10.56,10.39888221,8.356667404
31-01-2024,12.32,87.3,Medium,high,low,Low,IVECO NP 460,Birmingham,Manchester,51,69,17,morning,10.56,10.47110451,8.337229365
16-06-2023,12.32,86.9,Medium,medium,high,Medium,VOLVO FL 420,Manchester,Birmingham,60,69,17,night,11.44,10.48039641,8.291671097
09-06-2023,12.32,87.3,Medium,high,high,Medium,VOLVO FL 420,Birmingham,Manchester,41,69,17,noon,8.8,10.48039641,8.329837592
23-11-2023,8.8,98.3,Low,high,medium,Medium,VOLVO FL 420,Birmingham,Liverpool,59,78,19,night,10.56,10.6623742,9.219335033
04-01-2024,10.56,99,High,low,low,High,MAN TGM 18.250,Liverpool,Birmingham,51,79,19,morning,11.44,10.78360644,9.180602107
11-10-2023,9.68,99,Medium,high,high,High,MAN TGM 18.250,Liverpool,Birmingham,36,79,19,night,7.04,10.78360644,9.180602107
17-08-2023,10.56,86.9,Medium,low,low,Low,SCANIA G 460,Manchester,Birmingham,56,69,17,noon,11.44,10.85146515,8.008135196
11-12-2023,12.32,86.9,Medium,low,high,High,VOLVO FL 420,Manchester,Birmingham,54,69,17,night,12.32,10.9461918,7.938834034
12-08-2023,7.04,86.9,High,medium,low,Low,IVECO NP 460,Manchester,Birmingham,30,69,17,night,8.8,11.16513684,7.78315584
11-02-2023,7.04,86.9,High,high,high,Medium,DAF XG 530,Manchester,Birmingham,58,69,17,noon,8.8,11.26434996,7.714604066
03-03-2023,11.44,86.9,Medium,low,high,Low,VOLVO FH 520,Manchester,Birmingham,60,69,17,morning,11.44,11.28552375,7.700130001
14-07-2023,7.04,87.3,Low,high,high,High,VOLVO FH 520,Birmingham,Manchester,59,69,17,night,11.44,11.31687243,7.714145453
29-03-2023,10.56,86.9,High,high,medium,Medium,IVECO NP 460,Manchester,Birmingham,46,69,17,night,10.56,11.50271657,7.554737133
09-09-2023,10.56,86.9,High,medium,low,Medium,IVECO NP 460,Manchester,Birmingham,49,69,17,night,7.04,11.50271657,7.554737133
04-07-2023,9.68,99,High,medium,medium,Low,IVECO NP 460,Liverpool,Birmingham,56,79,19,noon,10.56,11.69131929,8.467821085
26-11-2023,10.56,99,High,low,medium,High,MAN TGM 18.250,Liverpool,Birmingham,33,79,19,night,9.68,11.72131135,8.446153937
27-04-2023,8.8,73.2,Low,high,low,Low,DAF XF 105.510,Leeds,Liverpool,60,58,14,noon,10.56,11.86790506,6.16789565
10-08-2023,11.44,87.3,High,low,low,Medium,SCANIA G 460,Birmingham,Manchester,51,69,17,morning,8.8,11.92055029,7.323487413
07-02-2024,8.8,98.3,High,low,low,Low,DAF XG 530,Birmingham,Liverpool,57,78,19,noon,10.56,11.93611483,8.235510583
03-09-2023,10.56,122,High,low,high,Low,MAN TGM 18.250,Cardiff,Birmingham,47,97,24,morning,11.44,11.99977675,10.16685581
14-08-2023,9.68,98.3,Medium,low,medium,Low,VOLVO FH 520,Birmingham,Liverpool,59,78,19,night,11.44,12.08576998,8.133532258
22-06-2023,7.04,118,Low,high,medium,Low,VOLVO FL 420,Birmingham,Leeds,41,94,23,noon,9.68,12.09182024,9.758663101
26-05-2023,10.56,73.2,Medium,low,medium,Low,SCANIA R 450,Leeds,Liverpool,41,58,14,morning,12.32,12.13560216,6.031839132
15-03-2023,11.44,116,High,high,low,Medium,MAN TGM 18.250,Birmingham,Cardiff,49,92,23,night,10.56,12.13897917,9.555993002
24-11-2023,10.56,98.3,High,medium,medium,Low,IVECO NP 460,Birmingham,Liverpool,49,78,19,noon,11.44,12.18869675,8.064849099
08-01-2024,7.04,86.9,High,low,low,Medium,SCANIA G 460,Manchester,Birmingham,36,69,17,night,10.56,12.30926388,7.059723542
10-07-2023,10.56,87.3,Low,high,medium,High,DAF XG 530,Birmingham,Manchester,32,69,17,noon,11.44,12.38419762,7.049306114
06-11-2023,8.8,99,Low,high,low,High,SCANIA G 460,Liverpool,Birmingham,51,79,19,noon,10.56,12.3852485,7.993380189
13-07-2023,10.56,86.9,Low,high,low,High,SCANIA G 460,Manchester,Birmingham,37,69,17,night,9.68,12.45035252,6.979722049
05-09-2023,9.68,98.3,Low,high,medium,Low,VOLVO FH 520,Birmingham,Liverpool,32,78,19,noon,11.44,12.47987118,7.876683868
01-06-2023,7.04,73.9,Medium,medium,high,Low,MAN TGX 18.400,Liverpool,Leeds,41,59,14,noon,12.32,12.57759784,5.875525751
30-01-2024,10.56,99,High,low,low,Low,DAF XG 530,Liverpool,Birmingham,53,79,19,noon,8.8,12.68592171,7.803926452
18-10-2023,8.8,98.3,High,low,high,Medium,DAF XG 530,Birmingham,Liverpool,59,78,19,morning,9.68,12.6979945,7.741379948
04-09-2023,8.8,116,Low,high,low,Low,VOLVO FL 420,Birmingham,Cardiff,34,92,23,morning,10.56,12.93242806,8.969700002
22-06-2023,9.68,118,High,medium,low,Low,VOLVO FL 420,Birmingham,Leeds,49,94,23,night,11.44,13.14328287,8.977970053
14-11-2023,10.56,116,Medium,medium,low,Low,VOLVO FL 420,Birmingham,Cardiff,55,92,23,noon,11.44,13.18319537,8.799080704
30-03-2023,11.44,73.2,High,medium,low,Medium,IVECO EuroCargo ml180e28,Leeds,Liverpool,47,58,14,noon,11.44,13.21790402,5.537943072
26-08-2023,12.32,120,High,high,medium,High,MAN TGM 18.250,Leeds,Birmingham,60,96,24,night,10.56,13.22972803,9.070481247
23-12-2023,9.68,118,Low,low,high,Low,DAF XG 530,London,Birmingham,41,94,23,morning,12.32,13.24831739,8.906791446
08-01-2024,8.8,118,Low,medium,medium,Low,SCANIA G 460,London,Birmingham,53,94,23,noon,8.8,13.31908832,8.85946524
06-09-2023,9.68,122,Medium,medium,medium,High,MAN TGM 18.250,Cardiff,Birmingham,35,97,24,night,9.68,13.33308528,9.15017023
15-08-2023,7.04,98.3,High,medium,low,High,SCANIA G 460,Birmingham,Liverpool,58,78,19,noon,11.44,13.3331957,7.372576103
17-06-2023,10.56,98.3,High,high,medium,High,IVECO NP 460,Birmingham,Liverpool,50,78,19,night,7.04,13.54299639,7.258364188
11-02-2023,11.44,116,High,high,high,Low,VOLVO FL 420,Birmingham,Cardiff,60,92,23,night,11.44,13.61308217,8.521215001
01-05-2023,7.04,86.9,Medium,low,high,Low,SCANIA R 450,Manchester,Birmingham,47,69,17,noon,8.8,13.78446115,6.304200001
04-03-2023,7.04,118,Medium,high,medium,Low,VOLVO FL 420,Birmingham,London,36,94,23,night,11.44,13.8350346,8.52907155
15-11-2023,9.68,149,High,high,high,Low,MAN TGM 18.250,London,Cardiff,47,119,29,night,8.8,13.93307411,10.69397886
31-03-2023,9.68,116,Low,high,medium,Medium,SCANIA G 460,Birmingham,Cardiff,54,92,23,noon,11.44,13.94192884,8.320226084
12-04-2023,10.56,99,High,low,medium,High,VOLVO FL 420,Liverpool,Birmingham,34,79,19,night,10.56,13.98371771,7.079662365
24-03-2023,7.04,116,Low,low,low,High,IVECO NP 460,Birmingham,Cardiff,41,92,23,night,10.56,14.05116457,8.255543476
28-09-2023,9.68,87.3,Low,high,low,Low,IVECO EuroCargo ml180e28,Birmingham,Manchester,31,69,17,noon,9.68,14.112986,6.185792291
19-06-2023,12.32,118,Low,medium,medium,High,VOLVO FL 420,Birmingham,Leeds,51,94,23,night,12.32,14.14247981,8.343656953
01-12-2023,11.44,118,Low,high,low,High,VOLVO FL 420,London,Birmingham,56,94,23,morning,10.56,14.14247981,8.343656953
10-01-2024,7.04,120,Low,high,high,Low,VOLVO FH 520,Leeds,Birmingham,40,96,24,morning,10.56,14.22222222,8.437500001
11-10-2023,9.68,120,Low,low,high,Low,VOLVO FH 520,Leeds,Birmingham,43,96,24,noon,7.04,14.22222222,8.437500001
07-03-2023,7.04,87.3,High,medium,medium,Low,SCANIA R 450,Birmingham,Manchester,55,69,17,noon,12.32,14.23395445,6.133221819
17-08-2023,7.04,120,Low,low,high,Medium,VOLVO FL 420,Leeds,Birmingham,30,96,24,morning,8.8,14.35607186,8.358832498
10-07-2023,7.04,116,High,medium,high,High,VOLVO FL 420,Birmingham,Cardiff,55,92,23,noon,8.8,14.36936451,8.072730003
27-04-2023,8.8,118,Medium,high,low,Medium,IVECO NP 460,Birmingham,London,44,94,23,noon,10.56,14.39219897,8.198886094
18-02-2023,7.04,120,Medium,high,low,Low,SCANIA G 460,Leeds,Birmingham,42,96,24,night,8.8,14.39496176,8.336250002
12-03-2023,8.8,122,High,high,high,Low,IVECO NP 460,Cardiff,Birmingham,41,97,24,morning,10.56,14.45540117,8.439751935
10-03-2023,10.56,116,High,high,medium,Low,IVECO NP 460,Birmingham,Cardiff,48,92,23,night,7.04,14.4691626,8.017049998
22-10-2023,9.68,147,Medium,low,high,Low,MAN TGM 18.250,Aberdeen,Glasgow,38,117,29,noon,10.56,14.48035075,10.1516878
06-02-2024,8.8,116,Low,low,low,Medium,VOLVO FH 520,Birmingham,Cardiff,42,92,23,night,7.04,14.49960599,8.000217391
01-05-2023,12.32,73.2,Medium,medium,low,High,IVECO EuroCargo ml180e28,Leeds,Liverpool,30,58,14,night,8.8,14.53196465,5.037171626
23-11-2023,7.04,86.9,Low,medium,low,High,SCANIA R 450,Manchester,Birmingham,47,69,17,noon,9.68,14.55026455,5.9724
08-08-2023,7.04,116,Medium,high,medium,Medium,DAF XG 530,Birmingham,Cardiff,46,92,23,night,9.68,14.59773521,7.946438152
22-06-2023,10.56,86.9,Low,low,low,Medium,SCANIA R 450,Manchester,Birmingham,56,69,17,night,9.68,14.66432038,5.925947998
07-09-2023,10.56,118,High,high,medium,Low,IVECO NP 460,London,Birmingham,51,94,23,night,9.68,14.70507286,8.02444171
20-07-2023,7.04,118,Medium,high,medium,Medium,DAF XG 530,Birmingham,Leeds,50,94,23,night,10.56,14.83574176,7.95376476
19-06-2023,7.04,118,Medium,medium,medium,Medium,SCANIA G 460,Birmingham,Leeds,49,94,23,morning,9.68,14.91499252,7.911502459
23-03-2023,8.8,73.2,High,low,low,Medium,DAF XF 105.510,Leeds,Liverpool,39,58,14,noon,8.8,14.91662442,4.907276468
28-03-2023,12.32,87.3,High,low,medium,Low,SCANIA R 450,Birmingham,Manchester,55,69,17,morning,9.68,14.98310995,5.826560727
26-08-2023,10.56,149,Low,low,medium,High,MAN TGM 18.250,London,Cardiff,59,119,29,night,10.56,14.99231367,9.938426001
16-03-2023,9.68,122,Medium,high,high,Low,VOLVO FH 520,Cardiff,Birmingham,60,97,24,noon,11.44,15.0877193,8.086046511
08-03-2023,11.44,116,Medium,low,high,Low,VOLVO FH 520,Birmingham,Cardiff,59,92,23,morning,10.56,15.10208269,7.681059784
06-09-2023,7.04,73.9,High,high,high,Medium,DAF XF 105.510,Liverpool,Leeds,38,59,14,night,10.56,15.11118909,4.89041594
12-12-2023,10.56,118,Medium,high,low,Medium,IVECO NP 460,London,Birmingham,57,94,23,morning,9.68,15.14968312,7.788941793
22-07-2023,10.56,118,High,medium,high,Low,DAF XG 530,Birmingham,London,60,94,23,noon,10.56,15.15825789,7.78453572
27-09-2023,10.56,118,Low,high,low,Low,DAF XG 530,London,Birmingham,33,94,23,noon,8.8,15.15825789,7.78453572
01-09-2023,12.32,98.3,High,low,medium,Medium,VOLVO FH 520,Birmingham,Liverpool,38,78,19,morning,8.8,15.19045618,6.471168399
01-06-2023,11.44,118,High,high,high,Low,SCANIA G 460,London,Birmingham,44,94,23,morning,8.8,15.23923149,7.743172618
08-11-2023,12.32,118,Medium,high,high,Low,VOLVO FH 520,London,Birmingham,53,94,23,noon,8.8,15.3483123,7.688141712
22-11-2023,10.56,118,High,medium,medium,High,VOLVO FL 420,Birmingham,Leeds,43,94,23,night,10.56,15.37226067,7.676164393
24-09-2023,9.68,118,High,low,low,Medium,SCANIA G 460,Birmingham,Leeds,56,94,23,night,9.68,15.40135097,7.66166554
10-10-2023,7.04,118,High,low,low,Medium,SCANIA G 460,Birmingham,London,46,94,23,night,9.68,15.40135097,7.66166554
11-06-2023,8.8,118,Medium,medium,low,Medium,VOLVO FH 520,Birmingham,London,51,94,23,morning,9.68,15.51159222,7.607213903
14-10-2023,7.04,122,Medium,medium,high,High,IVECO NP 460,Cardiff,Birmingham,48,97,24,night,7.04,15.55434979,7.843465117
26-11-2023,9.68,99,Medium,low,high,Low,SCANIA R 450,Liverpool,Birmingham,56,79,19,night,12.32,15.68922306,6.310063897
13-02-2023,10.56,118,Medium,low,medium,Medium,SCANIA G 460,Birmingham,Leeds,60,94,23,night,10.56,15.69999212,7.515927339
09-03-2023,10.56,73.2,High,medium,medium,Medium,DAF XF 105.510,Leeds,Liverpool,30,58,14,noon,11.44,15.70170992,4.661912643
03-05-2023,12.32,149,Medium,medium,low,High,MAN TGM 18.250,London,Cardiff,47,119,29,morning,9.68,15.78138281,9.441504702
19-05-2023,11.44,118,High,medium,high,Low,VOLVO FH 520,Birmingham,Leeds,60,94,23,noon,8.8,15.84880075,7.445358287
20-10-2023,9.68,122,Low,medium,medium,Medium,DAF XG 530,Cardiff,Birmingham,33,97,24,night,10.56,15.85201249,7.696183691
10-04-2023,10.56,116,Low,medium,medium,High,VOLVO FH 520,Birmingham,Cardiff,45,92,23,noon,10.56,15.94108729,7.276793476
